wl	n	k
0.2066	1.010	2.909
0.2101	1.083	2.982
0.2138	1.133	3.045
0.2175	1.186	3.120
0.2214	1.247	3.206
0.2254	1.340	3.302
0.2296	1.471	3.366
0.2339	1.579	3.353
0.2384	1.589	3.354
0.2431	1.571	3.429
0.2480	1.570	3.565
0.2530	1.597	3.749
0.2583	1.658	3.979
0.2638	1.764	4.278
0.2695	1.988	4.678
0.2755	2.452	5.082
0.2818	3.120	5.344
0.2883	4.087	5.395
0.2952	4.888	4.639
0.3024	5.020	3.979
0.3100	5.010	3.586
0.3179	5.016	3.346
0.3263	5.065	3.182
0.3351	5.156	3.058
0.3444	5.296	2.987
0.3542	5.610	3.014
0.3647	6.522	2.705
0.3757	6.709	1.320
0.3875	6.062	0.630
0.3999	5.570	0.387
0.4133	5.222	0.269
0.4275	4.961	0.203
0.4428	4.753	0.163
0.4592	4.583	0.130
0.4769	4.442	0.090
0.4959	4.320	0.073
0.5166	4.215	0.060
0.5391	4.123	0.048
0.5636	4.042	0.032
0.5904	3.969	0.030
0.6199	3.906	0.022
0.6525	3.847	0.016
0.6888	3.796	0.013
0.7293	3.752	0.010
0.7749	3.714	0.008
0.8266	3.673	0.005
8.0000e-01	3.6750e+00	5.4113e-03
8.1000e-01	3.6680e+00	4.9955e-03
8.2000e-01	3.6610e+00	4.6134e-03
8.3000e-01	3.6540e+00	4.2734e-03
8.4000e-01	3.6470e+00	3.9439e-03
8.5000e-01	3.6410e+00	3.6120e-03
8.6000e-01	3.6350e+00	3.2781e-03
8.7000e-01	3.6300e+00	2.9839e-03
8.8000e-01	3.6240e+00	2.6821e-03
8.9000e-01	3.6190e+00	2.4293e-03
9.0000e-01	3.6140e+00	2.1701e-03
9.1000e-01	3.6090e+00	1.9625e-03
9.2000e-01	3.6040e+00	1.7571e-03
9.3000e-01	3.6000e+00	1.5467e-03
9.4000e-01	3.5950e+00	1.3689e-03
9.5000e-01	3.5910e+00	1.1793e-03
9.6000e-01	3.5870e+00	1.0237e-03
9.7000e-01	3.5830e+00	8.7225e-04
9.8000e-01	3.5790e+00	7.4866e-04
9.9000e-01	3.5750e+00	6.2238e-04
1.0000e+00	3.5720e+00	5.0930e-04
1.0100e+00	3.5680e+00	4.1071e-04
1.0200e+00	3.5650e+00	3.2386e-04
1.0300e+00	3.5620e+00	2.4753e-04
1.0400e+00	3.5590e+00	1.8704e-04
1.0500e+00	3.5560e+00	1.3620e-04
1.0600e+00	3.5530e+00	9.3631e-05
1.0700e+00	3.5500e+00	6.8118e-05
1.0800e+00	3.5470e+00	5.3285e-05
1.0900e+00	3.5450e+00	4.0768e-05
1.1000e+00	3.5420e+00	3.0637e-05
1.1100e+00	3.5400e+00	2.3849e-05
1.1200e+00	3.5370e+00	1.7825e-05
1.1300e+00	3.5350e+00	1.3488e-05
1.1400e+00	3.5320e+00	9.0718e-06
1.1500e+00	3.5300e+00	6.2230e-06
1.1600e+00	3.5280e+00	3.8770e-06
1.1700e+00	3.5260e+00	2.0483e-06
1.1800e+00	3.5240e+00	6.1036e-07
1.1900e+00	3.5220e+00	3.4091e-07
1.2000e+00	3.5200e+00	2.1008e-07
1.2100e+00	3.5180e+00	1.2518e-07
1.2200e+00	3.5170e+00	7.9609e-08
1.2300e+00	3.5150e+00	4.6004e-08
1.2400e+00	3.5130e+00	2.3682e-08
1.2500e+00	3.5110e+00	9.9472e-09
1.2600e+00	3.5090e+00	3.6096e-09
1.2700e+00	3.5080e+00	2.0213e-09
1.2800e+00	3.5060e+00	1.2223e-09
1.2900e+00	3.5050e+00	7.2885e-10
1.3000e+00	3.5030e+00	4.6553e-10
1.3100e+00	3.5020e+00	2.8147e-10
1.3200e+00	3.5000e+00	1.6807e-10
1.3300e+00	3.4990e+00	8.4670e-11
1.3400e+00	3.4970e+00	3.7322e-11
1.3500e+00	3.4960e+00	1.8263e-11
1.3600e+00	3.4950e+00	1.0281e-11
1.3700e+00	3.4940e+00	6.5413e-12
1.3800e+00	3.4920e+00	4.1730e-12
1.3900e+00	3.4910e+00	2.5441e-12
1.4000e+00	3.4900e+00	1.5597e-12
1.4100e+00	3.4890e+00	9.5374e-13
1.4200e+00	3.4880e+00	5.6500e-13
1.4300e+00	3.4870e+00	2.8449e-13
1.4400e+00	3.4860e+00	2.0626e-13
1.4500e+00	3.4850e+00	1.3846e-13
